pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
55	Dwoje nagich , małych dzieci siedzi naprzeciwko siebie i większe dziecko smaruje farbą mniejsze dziecko .	Dwójka nagich dzieci , które są ubrudzone farbkami , siedzi na podłodze obok kartek , które są porozrzucane .	3.17	NEUTRAL
56	Dwóch mężczyzn w rękawicach bokserskich nie walczy na ringu .	Dwie długowłose kobiety spadają na podłogę , walcząc na ringu .	2.33	NEUTRAL
57	Kilka kobiet w strojach kąpielowych gra w siatkówkę na plaży w słoneczny dzień .	Mężczyzna w kapeluszu trzymający lasso w dłoni siedzi na rozpędzonym koniu .	0.17	NEUTRAL
60	Kobieta i mężczyzna siedzą przy stoliku , patrząc na siebie .	Druga kobieta i mężczyzna siedzą przy stoliku , patrząc na siebie .	4.17	ENTAILMENT
62	Kolorowe balony powietrzne są obserwowane przez ludzi zgromadzonych na trawie .	Ludzie zgromadzeni na trawie obserwują kolorowe balony powietrzne .	5.0	ENTAILMENT
63	Chłopiec unosi się na wodzie w basenie w różowym , dmuchanym kółku .	Chłopiec pływa .	2.17	NEUTRAL
64	Chłopak w kasku i ochraniaczach jedzie na monocyklu po chodniku .	Łysy mężczyzna pije pomarańczowy napój z butelki na świeżym powietrzu .	0.33	NEUTRAL
65	Ludzie za ogrodzeniem patrzą na biegnące obok siebie psy .	Psy biegną .	3.0	NEUTRAL
66	Chłopiec w czerwonej bluzie stoi przy barierce nad wodą , a obok niego stoi oparta wędka .	Dziecko w czerwonej bluzie stoi obok wędki opartej o barierkę .	4.17	NEUTRAL
67	Sześć osób gra w hokeja na lodzie .	Grupa mężczyzn ubranych w białe stroje gra w hokeja na lodzie .	3.0	NEUTRAL
68	Nikt nie jedzie na łyżwach za drugim chłopcem .	Dwoje dzieci jedzie na łyżwach , uginając kolana , a w tle stoją inne osoby .	2.17	NEUTRAL
69	Dziecko trzyma i gryzie gotowaną kukurydzę .	Dziecko , trzymając gotowaną kukurydzę , gryzie ją .	5.0	ENTAILMENT
70	Kobieta w czarnym sportowym stroju odbija się do skoku o tyczce .	Kobieta skacze .	2.67	NEUTRAL
72	Czworo ludzi na koniach znajduje się nad brzegiem wody .	Skok przez przeszkodę na jasnobrązowym koniu jest wykonywany przez jakąś osobę .	1.0	NEUTRAL
73	Trzy osoby stoją na jachcie , który jest przycumowany do brzegu .	Trzech mężczyzn płynie łodzią motorową po wodzie w pobliżu budynków .	1.83	NEUTRAL
74	Sześciu chłopaków i dziewczyna idą po trawie pod drzewem .	Smukły , szary ptak stoi na kamieniu obok rwącej wody .	0.0	NEUTRAL
75	Mężczyzna w jasnych spodniach pozuje do zdjęcia , stojąc na piasku .	Czarny pies biegnie po trawie , trzymając w pysku biało - niebieską piłkę .	0.17	NEUTRAL
76	Czarno - biały ptak siedzi na ludzkiej dłoni obok ciemnych pestek .	Smukły , szary ptak stoi na kamieniu obok rwącej wody .	0.67	NEUTRAL
77	Dwoje dzieci w zimowych strojach siedzi w huśtawce zrobionej z opony , bujanej przez osobę w czarnych rękawiczkach .	Dwoje dzieci buja się na huśtawce .	3.17	NEUTRAL
78	Cztery osoby w kaskach i jednakowych czerwono - czarnych kurtkach zjeżdżają na nartach z góry .	Mężczyzna przejeżdża na nartach biegowych , spoglądając na obrazy , które są ustawione obok .	1.0	NEUTRAL
79	Dwie krowy , brązowa i czarna , biegną po trawie , mając za sobą psa i ogrodzenie .	Mężczyzna w stroju do walki stoi pod ringiem , z którego skacze inny mężczyzna .	0.0	NEUTRAL
80	Człowiek w niebieskim kapeluszu jedzie konno w pobliżu krzewów .	Mężczyzna jedzie na brązowym koniu , który jest rozpędzony , wzdłuż płotu .	2.17	NEUTRAL
81	Przy drodze asfaltowej stoi mężczyzna , który przygląda się akcji gaszenia pożaru .	Wśród dużej ilości kwiatów stoi mężczyzna , który przygląda się akcji gaszenia pożaru .	3.83	NEUTRAL
82	Człowiek z bosymi stopami siedzi na chodniku pod parasolem oparty o ścianę budynku .	Człowiek siedzi pod parasolem na kocu rozłożonym pod ścianą budynku .	3.33	NEUTRAL
83	Nikt nie skacze na nartach za mężczyzną w zielonych goglach .	Mężczyzna w okularach narciarskich patrzy przed siebie , za nim dwie osoby zeskakują na nartach z górki .	2.67	NEUTRAL
85	Grupa ludzi siedzi po zmroku przy ognisku .	Grupa osób siedzi .	3.67	NEUTRAL
86	Dziewczyna w szortach , zielonej koszulce i okularach wydmuchuje dużą bańkę mydlaną .	Dziewczyna w okularach wydmuchuje dużą bańkę mydlaną .	3.67	NEUTRAL
87	Duży , jasny ptak z pomarańczowym dziobem stoi w wodzie z rozłożonymi szeroko skrzydłami .	Żaden ptak nie leci , trzymając w dziobie zieloną gałązkę .	1.67	NEUTRAL
88	Chłopak w kamizelce i niebieskich spodenkach stoi na wodzie na desce , trzymając się jedną ręką linki .	Chłopak nie płynie po wodzie na desce , trzymając się liny .	2.33	CONTRADICTION
89	Dwoje dzieci siedzi na wielbłądach w pobliżu wysokich gór .	Dwie młode osoby przejeżdżają przez górski teren na wielbłądach .	3.83	NEUTRAL
90	Dziewczynka trzyma przy twarzy aparat , zasłaniając obiektyw ręką .	Dziewczynka trzyma aparat .	3.83	NEUTRAL
91	Uśmiechnięty mężczyzna w czapce z daszkiem płynie samotnie łodzią w pobliżu rosnących lilii .	Trzy jednakowo ubrane osoby w srebrnych strojach przejeżdżają rowerami przez przejście dla pieszych .	0.33	NEUTRAL
92	Ludzie w kaskach , którzy są pochyleni , jadą na rolkach po asfaltowej drodze .	Kobieta stojąca pod płotem przygląda się kilku osobom przejeżdżającym na rolkach po drodze asfaltowej .	2.17	NEUTRAL
93	Człowiek z plecakiem jedzie na nartach po śniegu .	Człowiek zjeżdża na nartach niedaleko górskich szczytów , które są zaśnieżone .	2.83	NEUTRAL
94	Jasnowłose dziecko jedzie po chodniku na czerwonej hulajnodze .	Chłopiec jedzie na hulajnodze .	3.0	NEUTRAL
95	Jeden ciemny , mały pies i dwa białe , małe psy stoją na chodniku .	Jedna osoba siedzi na śniegu , druga osoba niesie deskę , trzecia osoba siedzi na śniegu obok sanek , czwarta osoba trzyma sanki , a pies biegnie po śniegu .	0.5	NEUTRAL
96	Po wodzie , niedaleko siebie , płynie kilka pontonów motorowych , a w każdym z nich siedzą dwie osoby .	Uśmiechnięta kobieta znajdująca się nad wodą trzyma w rękach wędkę i złowioną rybę .	0.83	NEUTRAL
98	Mężczyzna siedzi pod drzewami obok chodnika , grając na akordeonie .	Gitara jest trzymana w rękach przez dwóch na biało ubranych mężczyzn na scenie .	1.0	NEUTRAL
99	Młody mężczyzna z papierosem w ustach niesie sporą liczbę czarno - białych ptaków .	Zaniedbany mężczyzna idzie po trawiastym zboczu , trzymając martwe pingwiny .	2.5	NEUTRAL
101	Dwóch mężczyzn w rękawicach bokserskich walczy na ringu .	Dziewczynka w kostiumie kąpielowym i czepku siedzi , patrząc w dół .	0.33	NEUTRAL
102	Jedna małpa skacze na drugą z wyciągniętymi łapami .	Kobieta stoi , a cztery inne osoby siedzą na chodniku obok basenu .	0.0	NEUTRAL
104	Na ulicy kobieta w czerwonej sukni gra na dudach , stojąc obok drzwi .	Kobieta w czerwonej sukni z sakiewką przy biodrze gra na instrumencie , stojąc pod ścianą budynku .	3.33	NEUTRAL
105	Grupa dzieci moczy się w wodzie z fontanny .	Dwoje dzieci , pochylając się pod barierką , patrzy w dół .	1.17	NEUTRAL
106	Pysk psa jest całowany z zamkniętymi oczami przez dziewczynkę .	Pies o biszkoptowym kolorze przebywa blisko małej dziewczynki .	1.83	NEUTRAL
107	Kobieta w jasnym stroju w czarne kropki śpiewa do mikrofonu .	Kobieta śpiewa .	2.83	NEUTRAL
108	Chłopiec zeskakuje z głazu .	Chłopiec w kurtce i niebieskiej czapce zeskakuje z kamienia .	3.5	ENTAILMENT
109	Dziecko jedzie po śniegu na dmuchanych sankach w kształcie opony .	Dziecko w kurtce i czapce zjeżdża po śniegu , siedząc w kole , które jest dmuchane .	3.5	NEUTRAL
111	Dwie osoby trzymają rozłożony na ziemi spadochron .	Linki położonej na ziemi paralotni są trzymane przez człowieka w kasku , a jej skrzydło jest przytrzymywane przez drugą osobę .	2.0	NEUTRAL
113	Dziewczynka w różowo - czarnym stroju stoi na barierce , za którą jest wybieg dla konia .	Dżokeje nie ścigają się na torze z przeszkodami .	0.67	NEUTRAL
115	Trzy dziewczynki w strojach kąpielowych wykonują akrobacje w płytkiej wodzie .	Mężczyzna na desce unosi się na dużej fali .	0.83	NEUTRAL
116	Niewielki statek i dwie gondole płyną kanałem wodnym w mieście .	Dwie gondole i tramwaj wodny płyną obok porośniętego trawami brzegu w mieście .	3.67	NEUTRAL
117	Mężczyzna w turystycznym stroju stoi na trawie , trzymając czapkę i opierając się o drewniany słup .	Ubrani na niebiesko dziewczynka i chłopiec trzymają coś do jedzenia na patykach .	0.5	NEUTRAL
118	Karetka z rozbitą maską jest wieziona na lawecie przez ciężarówkę .	Ciężarówka wiezie na lawecie karetkę z rozbitą maską .	4.83	ENTAILMENT
119	Skośnooka kobieta siedzi na drewnianej ławce z lekko spuszczoną głową .	Skośnooka kobieta siedzi na drewnianej ławce z głową , która jest lekko spuszczona .	5.0	ENTAILMENT
120	Człowiek zjeżdża na nartach niedaleko zaśnieżonych górskich szczytów .	Dziewczynka zjeżdża z góry na nartach .	3.0	NEUTRAL
121	Mężczyzna w kapeluszu siedzi nad wodą na dużym kamieniu obok podpartej wędki .	Człowiek w kapeluszu siedzi na kamieniu nad wodą obok wiadra i rozkładanego krzesła .	3.5	NEUTRAL
122	Dwójka nagich dzieci ubrudzonych farbkami siedzi na podłodze obok porozrzucanych kartek .	Dwoje nagich , małych dzieci siedzi naprzeciwko siebie i mniejsze dziecko jest smarowane przez większe dziecko farbą .	3.33	NEUTRAL
123	W zaśnieżonych górach grupa osób siedzi na sankach .	Pięcioro dzieci siedzi jedno obok drugiego na śniegu w górach .	2.83	ENTAILMENT
124	Trzy osoby siedzą .	Samochody wyścigowe jadą blisko siebie po torze .	0.0	NEUTRAL
125	Kobieta idzie w kierunku wody i ciągnie za sobą ponton .	Ponton jest wciągany na wodę przez kobietę .	4.17	NEUTRAL
126	Kobieta w kostiumie kąpielowym , czapce z daszkiem i okularach przeciwsłonecznych leży na brzuchu na plaży , podpierając się na łokciach .	Kobieta leży .	2.67	NEUTRAL
128	Osoba z długimi włosami z papierosem w ustach stoi przy dużym samochodzie terenowym .	Mężczyzna w kapeluszu stoi przy dużym samochodzie terenowym .	3.33	NEUTRAL
129	Uśmiechnięty chłopiec o czarnych włosach buja się na huśtawce .	Dziecko w brązowej czapeczce buja się z zamkniętymi oczami na huśtawce .	2.67	NEUTRAL
130	Wielbłąd , który jest obładowany bagażami , znajduje się obok szczupłej kobiety z dzieckiem .	Kobieta i dziecko idą obok wielbłąda niosącego pojemniki .	3.33	NEUTRAL
131	Koszykarz , obserwowany przez widownię , skacze do kosza z piłką w ręku .	Czarny pies skacze do basenu , przy którym stoi człowiek .	0.33	NEUTRAL
132	Ryba jest wyławiana z potoku wędką przez chłopca .	Dziewczynka wskazuje palcami na złowioną przez chłopca dużą rybę .	2.67	NEUTRAL
133	Dziewczynka w różowym ubranku opiera się o ogrodzenie , a obok motoru stoi koń .	Osoba na ciemnym koniu przeskakuje przez przeszkodę .	0.83	NEUTRAL
134	Chłopiec w stroju kąpielowym skacze z wysoka do basenu .	Dwie dziewczynki i chłopiec skaczą na dworze , wyciągając ręce do góry .	1.67	NEUTRAL
135	Piłka do koszykówki jest odbijana na boisku przez chłopca z flagą na białej koszulce .	Chłopak kozłuje piłką do koszykówki na boisku na świeżym powietrzu .	3.33	NEUTRAL
136	Czarne konie stoją za ogrodzeniem , sąsiadując z białymi królikami na trawie .	Dwa białe króliki siedzą na trawie , a za nimi znajduje się zagroda z czarnymi końmi .	4.33	ENTAILMENT
137	Kobieta , dziewczynka i pies bawią się w śniegu w lesie .	Uśmiechnięta kobieta i dziecko zjeżdżają na sankach z góry w towarzystwie biało - czarnego psa .	2.67	NEUTRAL
138	Dwaj chłopcy walczą ze sobą .	Dwóch rudych chłopaków w okularach siłuje się , trzymając kije .	4.0	NEUTRAL
139	Mężczyzna jedzie motocyklem wraz z psem w okularach siedzącym w bocznym wózku .	Mężczyzna jedzie motocyklem .	3.0	NEUTRAL
140	Dziecko w niebieskiej czapce i szaliku zjeżdża na plastikowych saniach po zmierzchu .	Nikt nie zjeżdża na plastikowych saniach po zmierzchu .	3.67	CONTRADICTION
141	Żaden mężczyzna nie jedzie na rowerze po placu , unosząc przednie koło do góry .	Mężczyzna z brodą jedzie rowerem z uniesionym do góry przednim kołem .	3.0	NEUTRAL
142	Dziesięć osób dorosłych jedzie , jedna za drugą , na rowerach .	Dziesięciu kolarzy w kolorowych kurtkach jedzie , jeden za drugim , po torze .	3.67	NEUTRAL
143	Dwie młode osoby grają w piłkę na plaży w słoneczny dzień .	Żaden piłkarz nie patrzy w kierunku lecącej do bramki piłki .	1.0	NEUTRAL
144	Dwoje elegancko ubranych dzieci skacze na piłkach do skakania .	Chłopiec z rękami i nogami , które są ubrudzone , podskakuje na trawie , pochylając głowę .	0.83	NEUTRAL
145	Chłopiec w zimowym stroju jedzie na łyżwach podtrzymywany przez dorosłą osobę .	Chłopiec w zimowym stroju , który jest podtrzymywany przez dorosłą osobę , jedzie na łyżwach .	5.0	ENTAILMENT
146	Nikt nie płynie na fali na desce z żaglem .	Chłopak z płetwami na nogach płynie na fali na desce .	2.83	NEUTRAL
147	Mały samolot leci , zostawiając za sobą ślad w powietrzu .	Człowiek w kasku siedzi w do połowy zanurzonym pionowo w wodzie kajaku , trzymając wiosło .	0.0	NEUTRAL
148	Zaparkowany samochód koloru białego stoi na lawecie dużego auta .	Uszkodzony samochód koloru białego stoi na lawecie dużego auta .	4.0	ENTAILMENT
149	Mężczyzna w kapeluszu siedzi nad wodą na dużym kamieniu obok podpartej wędki .	Na kawałku drewna unoszącym się na wodzie stoi pies , który spogląda w kierunku zanurzonej piłki .	0.67	NEUTRAL
150	Jeden chłopiec biegnie po trawie w stronę piłki , a drugi chłopiec stoi obok .	Szary ptak leci w dół w pobliżu drzew .	0.17	NEUTRAL
151	Zdjęcie jest robione małym aparatem przez kobietę w białej kurtce .	Kilka osób jednocześnie robi zdjęcie aparatem fotograficznym .	2.33	NEUTRAL
152	Człowiek w goglach na oczach skacze na desce snowboardowej .	Człowiek w zimowym stroju wykonuje skok na snowboardzie nad śniegiem .	3.5	ENTAILMENT
153	Kobieta w brązowej kurtce stoi na targu , trzymając w rękach plik banknotów .	Kobieta z dzieckiem w nosidełku stoi na targu , trzymając w rękach plik banknotów .	3.67	NEUTRAL
154	Ptak o jasnych piórach i jasnoróżowym dziobie stoi zwrócony w stronę okruszka .	Skrzydła są rozkładane przez małego ptaka z długim dziobem .	2.17	NEUTRAL
155	Trzech mężczyzn w tradycyjnych strojach gra na dudach .	Kobieta w sportowym stroju stoi na boisku z jedną ręką wyciągniętą do góry , w drugiej ręce trzymając rakietkę do tenisa .	0.33	NEUTRAL
158	Chłopiec zeskakuje .	Chłopiec w żółtej kurtce zeskakuje z dużego głazu .	3.5	ENTAILMENT
159	Człowiek płynie po wzburzonej wodzie na desce z żaglem niedaleko brzegu .	Człowiek z papierosem w ustach stoi na płynącej po rzece desce windsurfingowej , trzymając żagiel .	2.67	NEUTRAL
160	Sześć osób gra w hokeja .	Dwoje dzieci w zimowych strojach i kaskach jedzie na łyżwach , trzymając kije hokejowe .	2.0	NEUTRAL
161	Dwie osoby trzymają rozłożony na ziemi spadochron .	Człowiek w kasku trzyma linki położonej na ziemi paralotni , a druga osoba przytrzymuje jej skrzydło .	2.17	NEUTRAL
162	Para młodych ludzi całuje się na ławce w parku .	Kobieta i mężczyzna całują się , siedząc na ławce .	3.5	NEUTRAL
163	Dziewczynka skacze z dużego kamienia obok stojącej pod skałami drugiej dziewczynki .	Trzy osoby stoją na jachcie przycumowanym do brzegu .	0.5	NEUTRAL
164	Człowiek w niebieskim kapeluszu jedzie konno w pobliżu krzewów .	Człowiek z plecakami jedzie konno w pobliżu krzewów .	4.0	NEUTRAL
165	Dziewczynka w kostiumie kąpielowym i czepku siedzi , patrząc w dół .	Dziewczynka w czepku pływackim i stroju kąpielowym siedzi z podkurczonymi nogami .	3.83	NEUTRAL
166	Człowiek w nartach leci na paralotni nad górami , które są ośnieżone .	Mężczyzna z nartami na nogach skacze ze spadochronem .	3.0	NEUTRAL
167	Na trawie dwóch chłopców w sportowych strojach przymierza się do kopnięcia piłki , a za nimi stoi tak samo ubrana dziewczynka .	Dziewczynki biegną .	0.5	NEUTRAL
168	Zdjęcie jest robione starym aparatem przez dziewczynkę .	Kobieta i mężczyzna w białych koszulach i dżinsach stoją na trawie pod kwitnącym drzewem .	0.0	NEUTRAL
169	Kangur siedzący na trawie jest głaskany przez dwie młode kobiety .	Dwie kobiety pochylają się i dotykają stojącego na trawie małego kangura .	3.83	NEUTRAL
170	Mężczyzna z ochraniaczami na kolanach skacze ze stromej skały .	Dwie osoby skaczą z deską snowboardową niedaleko drewnianych budynków .	0.17	NEUTRAL
171	Chłopak bez koszulki skacze wysoko nad złamanym drzewem .	Gruby mężczyzna podskakuje wysoko nad połamanym drzewem .	2.83	NEUTRAL
172	Talerz z potrawą jest trzymany przez dziewczynę nad pojemnikami z jedzeniem , a obok stoi chłopak .	Jasnowłosa dziewczynka je brzoskwinię , trzymając serwetkę .	1.0	NEUTRAL
173	Ciemnoskóra kobieta w różowym stroju kąpielowym leży na leżaku na różowym ręczniku .	Dwie dziewczynki w białych strojach biorą udział w pokazie sztuki walki .	0.17	NEUTRAL
174	Kobieta podtrzymuje za ręce chłopca w basenie .	Dziecko w niebieskim stroju bawi się w basenie podtrzymywane przez kobietę .	3.33	NEUTRAL
175	Kobieta w skąpym , sportowym stroju przebiła piłkę nad siatką .	Kobieta w skąpym stroju przebiła piłkę nad siatką .	4.33	NEUTRAL
176	Mężczyzna w stroju do walki stoi pod ringiem , do wody skacze inny mężczyzna .	Publiczność obserwuje , jak umięśniony mężczyzna przelatuje przez barierkę ringu .	1.83	NEUTRAL
177	Mężczyzna w okularach i w niebieskiej koszuli przechodzi obok mężczyzny w jasnym kapeluszu .	Mężczyzna , który jest widziany od tyłu , w białym kapeluszu idzie pasażem handlowym .	1.67	NEUTRAL
178	Dwa psy stoją w kuchni obok postawionego na dywanie talerza z jedzeniem , jeden pies opiera się łapą o szafkę , a drugi pies patrzy na blat kuchenny .	Dwa psy stoją w kuchni obok talerza z jedzeniem , który jest postawiony na dywanie , jeden pies opiera się łapą o szafkę , a drugi pies patrzy na blat kuchenny .	5.0	ENTAILMENT
179	W basenie ze zjeżdżalnią dwie dziewczynki odbijają między sobą dmuchaną piłkę .	Nikt nie pływa w basenie uśmiechając się .	1.83	NEUTRAL
180	Biały pies wyskakuje z wody .	Dwa psy , jeden czarny , a drugi łaciaty , stoją naprzeciwko siebie na ulicy .	0.67	NEUTRAL
182	Chłopiec strzela z łuku do tarczy , która jest umieszczona pod drzewem .	Chłopiec strzela z łuku do tarczy umieszczonej pod drzewem .	5.0	ENTAILMENT
183	Dziewczynka stoi na trawie z rękami ułożonymi do odbicia lecącej piłki .	Skok o tyczce jest wykonywany przez kobietę w sportowym stroju .	0.33	NEUTRAL
184	Nikt nie skacze nad śniegiem na deskach snowboardowych w pobliżu drewnianych budynków .	Dwie osoby skaczą z deską snowboardową niedaleko drewnianych budynków .	3.83	CONTRADICTION
185	Osoba klęczy .	Osoba klęczy na lodowisku , trzymając łyżwę drugiej osoby .	3.83	ENTAILMENT
186	Chłopiec biegnie na placu wśród gołębi , a dalej stoi mężczyzna z plastikową torbą .	Chłopiec biegnie na placu wśród gołębi , a dalej stoi kobieta w czarnej sukience .	2.33	NEUTRAL
187	Trzech mężczyzn w sportowych strojach gra w hokeja na trawie .	Pięcioro dzieci huśta się na dużej , okrągłej huśtawce , za którą stoi jeszcze jedna osoba .	0.17	NEUTRAL
188	Żaden mężczyzna nie stoi na ulicy .	Mężczyzna z torbami foliowymi stoi na przystanku autobusowym .	1.5	NEUTRAL
190	Kobieta w zimowym stroju i kasku zjeżdża na nartach po zaśnieżonym zboczu .	Nikt nie zjeżdża na nartach po zaśnieżonym zboczu .	3.5	CONTRADICTION
191	Osoba trzyma chłopca w czerwonym ubraniu , stojąc koło huśtawki .	Mały chłopiec siedzi na brązowym koniu , który jest bujany , na placu zabaw .	1.33	NEUTRAL
