pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
665	Młody człowiek w pasiastych spodniach , który ma kolorowy tatuaż w okolicy żeber , jedzie na deskorolce z rękami , które są uniesione .	Młody człowiek w pasiastych spodniach , który ma kolorowy tatuaż w okolicy żeber , jedzie na deskorolce z uniesionymi rękami .	5.0	ENTAILMENT
682	Człowiek wjeżdża na kamień na deskorolce .	Młody człowiek wjeżdża na kamień na deskorolce .	4.33	ENTAILMENT
686	Dziewczynka o jasnych włosach w kolorowej sukience stoi wśród białych kwiatów .	Dwójka nagich dzieci , które są ubrudzone farbkami , siedzi na podłodze obok porozrzucanych kartek .	0.17	NEUTRAL
724	Piłka jest trzymana na boisku przez jednego mężczyznę w sportowym stroju , który jest łapany za nogę przez drugiego mężczyznę ubranego w inne barwy .	Kobieta w kasku i sportowym stroju stoi w rozkroku obok lecącej piłki , trzymając kij , obserwowana zza ogrodzenia przez inne kobiety .	0.5	NEUTRAL
731	Chłopak w kraciastej koszuli skacze z deskorolką na duży głaz .	Człowiek wjeżdża na kamień na deskorolce .	2.5	NEUTRAL
733	Człowiek uprawia wspinaczkę , asekurując się na linie .	Cztery uśmiechające się osoby wykonują jednocześnie mostek w pobliżu lasu .	0.17	NEUTRAL
742	Człowiek w sportowym stroju stoi na piasku z ugiętymi kolanami i robi zamach ręką , w której trzyma piłkę .	Mały chłopiec w kapeluszu biegnie na plaży .	0.67	NEUTRAL
745	Mały chłopiec w ubrudzonych spodniach siedzi na toalecie .	Mały chłopiec w spodniach , które są ubrudzone , siedzi na toalecie .	5.0	ENTAILMENT
749	Dwóch chłopców biegnie .	Dziewczynka w białej sukience idzie po trawie .	0.17	NEUTRAL
750	Dziewczyna trzyma piłkę w rękawicy , przyklękając na ziemi , a obok niej przebiega osoba w kasku .	Żadna osoba nie biegnie w pobliżu dziewczyny z piłką w rękawicy baseballowej .	2.83	NEUTRAL
759	Dziewczynka w różowej sukience macha rękami , w których trzyma kolorowe chustki , a w lustrze odbijają się tańczące kobieta i dwie inne dziewczynki oraz mężczyzna siedzący na krześle .	Chłopiec w zielonym stroju biegnie po murku .	0.17	NEUTRAL
762	Szary ptak z długim dziobem unosi się w powietrzu nad wodą .	Dwóch chłopców biegnie po trawniku w kierunku trzeciego .	0.0	NEUTRAL
766	Dziewczynka w białej sukience idzie po pożółkłej trawie .	Dziewczynka w białej sukience idzie po trawie .	4.33	NEUTRAL
770	Mała dziewczynka w różowej pelerynie trzyma w rękach kolorową rakietę tenisową .	Mały chłopiec trzyma w rękach kolorową rakietę tenisową .	2.33	NEUTRAL
771	Chłopiec przegląda niegrubą książkę z kolorową okładką .	Dziecko nie biegnie po kałuży w zielonych butach .	0.33	NEUTRAL
775	Dziecko w szarym płaszczyku biegnie po drodze pokrytej zeschłymi liśćmi .	Na trawie , niedaleko górskich wzniesień , stoi quad , a na nim znajduje się czwórka dzieci .	0.5	NEUTRAL
783	Mała dziewczynka w różowej pelerynie trzyma w rękach kolorową rakietę tenisową .	Dziewczynka w pomarańczowej sukience w białe kwiaty trzyma rakietkę do tenisa , stojąc na chodniku przed domem .	2.67	NEUTRAL
785	Piłka jest odbijana kijem baseballowym przez chłopca w czerwonym kasku .	Człowiek w sportowym stroju i kasku biegnie na boisku w kierunku lecącej piłki .	1.83	NEUTRAL
798	Człowiek skacze z deskorolką nad wzniesieniem pod siatką , obok dwóch znajdujących się tam opon .	Czterech mężczyzn bez koszulek idzie chodnikiem , trzymając w ręce deskorolkę .	1.0	NEUTRAL
799	Dwoje dzieci w czerwonych koszulkach bawi się w stercie liści , a kolejne dwoje dzieci biegnie w ich stronę .	Dwoje dzieci bawi się , a dwoje dzieci biegnie .	4.0	NEUTRAL
800	Dziewczyna trzyma piłkę w rękawicy , przyklękając na ziemi , a obok niej przebiega osoba w kasku .	Koszykarz w pomarańczowym stroju kozłuje piłkę , a obok stoi drugi gracz , trzymając rękę wyciągniętą w bok .	0.33	NEUTRAL
806	Chłopiec leży na trawie , dotykając nogą podłużnej piłki .	Przewrócony przed nim drugi chłopiec jest przytrzymywany ręką przez małego chłopca .	1.17	NEUTRAL
885	Uśmiechnięta dziewczynka robi mostek na trawie .	Mostek jest robiony na trawie przez dziewczynkę w koszulce w paski .	4.17	NEUTRAL
889	Chłopak w czapce przejeżdża na deskorolce po rurze przylegającej do budynku .	Dziewczynka ćwiczy , wykonując skłon na brzegu morza .	0.17	NEUTRAL
891	Dziewczynka i chłopiec pochylają się pod barierką i patrzą w dół .	Dwoje dzieci , pochylając się pod barierką , patrzy w dół .	4.5	ENTAILMENT
894	Na plaży kobieta stawia małe dziecko na deskorolce .	Skok na deskorolce jest wykonywany przez chłopaka w czapce pod ścianą budynku .	0.83	NEUTRAL
906	Zawodniczka próbuje odbić kijem piłkę .	Kobieta w kasku i sportowym stroju stoi w rozkroku obok lecącej piłki , trzymając kij , obserwowana zza ogrodzenia przez inne kobiety .	2.67	ENTAILMENT
920	Chłopiec biegnie w kierunku dwóch innych chłopców bawiących się przy stosie pożółkłych liści .	Dwoje dzieci w czerwonych koszulkach bawi się w stercie liści , a kolejne dwoje dzieci biegnie w ich stronę .	3.17	NEUTRAL
921	Człowiek uprawia wspinaczkę , asekurując się na linie .	Zawodniczka na boisku próbuje odbić kijem lecącą żółtą piłkę .	0.5	NEUTRAL
924	Mężczyzna w sportowych spodenkach biegnie po bieżni .	Mężczyzna biegnie .	3.67	NEUTRAL
927	Dziecko w szarym płaszczyku biegnie po drodze , która jest pokryta zeschłymi liśćmi .	Kobieta ze słuchawkami na uszach trenuje bieganie .	1.0	NEUTRAL
939	Jasnowłosa dziewczynka w sukience w kwiaty stoi na łące .	Dziewczynka w żółtej , kolorowej sukience stoi wśród białych kwiatów .	3.0	NEUTRAL
975	Dziewczynka w niebieskim stroju i złotej koronie na głowie kręci kolorowym kołem na wysokości talii .	Dziewczynka w niebieskim kostiumie stoi z hula-hoop na biodrach na tle czarnej ściany , która jest ozdobiona kolorowymi kształtami .	3.67	NEUTRAL
978	Ciemnoskóry chłopak obserwuje , jak drugi chłopak w niebieskiej koszulce skacze z deskorolką w pobliżu schodów .	Osoba w kasku jeździ hulajnogą po placu , gdzie rozstawione są pomarańczowe słupki .	0.67	NEUTRAL
982	Mężczyzna w czerwonej bluzie stoi obok żółtego kajaka na skalistym brzegu .	Zawodnicy w pobliżu piłki przepychają się między sobą na boisku .	0.17	NEUTRAL
989	Uśmiechnięta dziewczynka robi mostek na trawie .	Tańcząca obok dziewczynka robi mostek na trawie .	3.5	NEUTRAL
1005	Troje dzieci zbiega .	Trójka dzieci zbiega po trawie z wysokiej górki .	3.83	ENTAILMENT
1012	Chłopiec siedzi na toalecie z rękami przy twarzy .	Chłopiec siedzi .	2.83	NEUTRAL
1025	Dziewczynka i chłopiec pochylają się pod barierką i patrzą w dół .	Żadna dziewczynka nie wchodzi po drabinie , na której stoi wyżej dorosła osoba .	0.33	NEUTRAL
1034	Skok jest wykonywany w pobliżu boiska do koszykówki przez człowieka z deskorolką .	Mężczyzna wykonuje skok na deskorolce w pobliżu boisk do koszykówki .	4.33	ENTAILMENT
1036	Nikt nie siedzi na podłodze , patrząc w jednym kierunku .	Duża grupa dzieci siedzi na podłodze , patrząc w jednym kierunku .	3.83	CONTRADICTION
1039	Dwoje dzieci w czerwonych koszulkach bawi się w stercie liści , a kolejne dwoje dzieci biegnie w ich stronę .	Dwoje dzieci w kurtkach bawi się w stercie liści , a kolejnych dwoje dzieci biegnie w ich stronę .	4.0	NEUTRAL
1042	Człowiek wjeżdża na kamień na deskorolce .	Nikt nie skacze z deskorolką na duży głaz .	2.67	NEUTRAL
1067	Mały chłopiec w niebieskim stroju biegnie przed patrzącą na niego kobietą .	Kobieta biegnie za małym uśmiechniętym chłopcem .	3.67	NEUTRAL
1078	Dwoje dzieci w czerwonych koszulkach bawi się w stercie liści , a kolejne dwoje dzieci biegnie w ich stronę .	Chłopiec w zielono - białym sportowym stroju biegnie po ulicy .	1.5	NEUTRAL
1088	Zawodnicy przepychają się między sobą na boisku w trakcie meczu .	Mężczyzna z żółtą i białą reklamówką w ręce stoi na przystanku obok autobusu .	0.17	NEUTRAL
1120	Chłopiec czyta książeczkę na zatłoczonym placu handlowym .	Mostek jest robiony na trawie przez dziewczynkę w koszulce w paski .	0.0	NEUTRAL
1127	Dwie osoby leżą na śniegu na plecach z rozłożonymi rękami i nogami .	Jedna osoba stoi .	0.67	NEUTRAL
1128	Dziewczynka biegnie po drodze obok krzewów i skał .	Dziewczynka nie biegnie po drodze obok krzewów i skał .	3.83	CONTRADICTION
1130	Dziewczynki w kolorowych strojach i chustach na głowach stoją w dużej grupie .	Nikt nie stoi w dużej grupie .	3.17	CONTRADICTION
1131	Dwóch chłopców biegnie trawnikiem w kierunku trzeciego .	Dwóch chłopców biegnie po trawniku w kierunku trzeciego .	4.83	ENTAILMENT
1132	Dwóch rudych chłopców w okularach walczy ze sobą z użyciem drewnianych kijów .	Chłopiec siedzi , trzymając siatkę z niewielkim wężem .	0.67	NEUTRAL
1139	Dziewczyna z rękawicą na ręce biegnie po kałuży .	Dziecko w zielonych butach biegnie po kałuży .	2.0	NEUTRAL
1206	Dziewczynka w okularach ze sztucznym nosem i brwiami uśmiecha się .	Dziewczynka patrzy przez zabawkowe okulary z przytwierdzonym dużym nosem .	3.0	NEUTRAL
1212	Chłopiec i dziewczynka w strojach kąpielowych i dmuchanych rękawkach biegną boso po chodniku polewanym wodą .	Dziewczynka i chłopiec z rękawkami do pływania biegną razem w kierunku pryskającej wody .	3.5	NEUTRAL
1215	Młody chłopak w czapce skacze z deskorolką na duży głaz .	Osoby w kaskach jadą na deskorolkach po krętej asfaltowej drodze .	1.33	NEUTRAL
1218	Mecz jest rozgrywany na trawie przez ubranych na biało mężczyzn w ochraniaczach na nogach .	Ubrani na biało mężczyźni w ochraniaczach na nogach rozgrywają mecz na trawie .	5.0	ENTAILMENT
1222	Chłopiec w czerwonym kasku odbija piłkę kijem baseballowym .	Żółw lądowy otwiera paszczę , pod którą człowiek podstawia truskawkę .	0.17	NEUTRAL
1233	Kolorowy pistolet na wodę jest trzymany w ręce przez mokrego chłopca .	Mokry chłopiec trzyma w ręce kolorowy pistolet na wodę .	4.83	ENTAILMENT
1249	Chłopiec w czepku i kostiumie kąpielowym klęczy na fontannie .	Chłopiec , który jest rozebrany , moczy się w wodzie z fontanny .	2.0	NEUTRAL
1253	Umięśniony mężczyzna w czerwonych spodenkach biega na bieżni .	Mężczyzna w sportowych spodenkach biegnie po bieżni .	3.83	NEUTRAL
1272	Młody chłopak w czapce skacze z deskorolką na boisku koszykarskim .	Młody chłopak w czapce skacze z deskorolką w pobliżu okien budynku .	3.0	NEUTRAL
1284	Mężczyzna w kasku i kamizelce odblaskowej wierci dziurę w asfalcie .	Cztery osoby w kaskach i kombinezonach jadą na deskorolkach po asfaltowej drodze .	0.67	NEUTRAL
1286	Mężczyzna z ochraniaczami na kolanach skacze wysoko z deskorolką .	Skok z deskorolką nad schodami jest wykonywany przez młodego chłopaka .	3.17	NEUTRAL
1301	Drewniane pałeczki są trzymane przez skośnooką dziewczynkę w rękach , a przed nią znajdują się naczynia kuchenne .	Osoba w niebieskich spodniach stoi na metalowej drabinie , po której wspina się małe dziecko .	0.17	NEUTRAL
1302	Nikt nie biegnie przed patrzącą na niego kobietą .	Mały chłopiec w niebieskim stroju biegnie przed patrzącą na niego kobietą .	3.0	CONTRADICTION
1310	Dziewczynka w fioletowej koszulce leży na trawie z rękami pod głową .	Czarnowłosa dziewczynka jedzie po podłodze na czerwonej hulajnodze .	1.0	NEUTRAL
1314	Mężczyzna w bluzce w paski niesie deskorolkę , idąc po chodniku z płytkami w kształcie gwiazd .	Człowiek w pasiastej bluzie idzie chodnikiem , trzymając w ręce deskorolkę .	3.33	NEUTRAL
1334	Dziewczynka w samej spódniczce jest goniona po piasku przez chłopca w samych majteczkach .	Dwoje ciemnoskórych dzieci biega po piasku .	3.17	NEUTRAL
1336	Mężczyzna w sportowym stroju i kasku biegnie po boisku z piłką w ręku , a dalej biegnie drugi mężczyzna w bluzce w paski .	Mężczyzna w czerwonych spodenkach biegnie po boisku z piłką w ręku , a dalej biegnie drugi mężczyzna w bluzce w paski .	4.0	NEUTRAL
1339	Kobieta w koszuli biegnie w maratonie .	Troje dzieci zbiega po trawiastym zboczu .	0.67	NEUTRAL
1351	Pistolet na wodę jest trzymany przez chłopca w czarnej bluzie , który też jest polewany wodą .	Chłopiec w czarnej bluzie trzyma pistolet na wodę i sam też jest polewany wodą .	5.0	ENTAILMENT
1353	Dziewczynka i chłopiec pochylają się pod barierką , patrząc w dół .	Cztery dziewczynki wykonują mostek na trawie pokrytej zeschłymi liśćmi .	0.67	NEUTRAL
1369	Dziewczynka w pomarańczowej sukience w białe kwiaty trzyma rakietkę do tenisa , stojąc na chodniku przed domem .	Mężczyzna w czerwonej koszulce wspina się po wodospadzie z asekuracją .	0.0	NEUTRAL
1378	Widziany od tyłu mały chłopiec stoi na ziemi obok wiader i trzyma coś w ręku .	Widziany od tyłu mały chłopiec stoi na ziemi obok wiader , trzymając coś w ręku .	5.0	ENTAILMENT
1409	Mężczyzna w ciemnej kurtce i jasnych spodniach patrzy w kierunku stojących niedaleko uśmiechających się dzieci .	Dziewczynka i chłopiec stoją na trawie , wyciągając ręce , inna dziewczynka stoi obok , a za nimi stoi mężczyzna .	2.67	NEUTRAL
1421	Ciemnoskóra dziewczynka klaszcze w dłonie , patrząc na tańczącą obok starszą dziewczynkę .	Dwóch chłopców leży w płytkiej , błotnistej wodzie .	0.17	NEUTRAL
1427	Dwoje dzieci patrzy na dwójkę innych dzieci przepychających się na trawie wśród porozrzucanych białych papierów .	Dwóch ciemnoskórych chłopców stoi pod niewielkim daszkiem przy niebieskim stole do gry .	0.33	NEUTRAL
1430	Żadna dziewczynka nie wchodzi do góry po długich schodach .	Dziecko w zielonych butach biegnie po kałuży .	0.33	NEUTRAL
1435	Chłopak pokonuje przeszkodę .	Młody chłopak w czerwonych butach pokonuje przeszkodę na deskorolce .	3.83	ENTAILMENT
1450	Dziecko w pomarańczowej kurtce z kapturem na głowie trzyma w rękach bryłę śniegu .	Bryła śniegu jest trzymana w rękach przez dziecko w pomarańczowej kurtce z kapturem na głowie .	5.0	ENTAILMENT
1465	Dwójka nagich dzieci , które są ubrudzone farbkami , siedzi na podłodze obok porozrzucanych kartek .	Dwóch chłopców leży w płytkiej , błotnistej wodzie .	0.83	NEUTRAL
1483	Chłopiec w samych majteczkach goni po piasku dziewczynkę w samej spódniczce .	Dwoje ciemnoskórych dzieci biega po piasku .	2.0	NEUTRAL
1484	Dziecko w czerwonej kurtce trzyma w rękach grudę śniegu .	Bryła śniegu jest trzymana w rękach przez dziecko w pomarańczowej kurtce z kapturem na głowie .	3.0	NEUTRAL
1485	Dwóch chłopców leży w błotnistej wodzie .	Dwóch chłopców leży w płytkiej , błotnistej wodzie .	4.5	ENTAILMENT
1486	Inna dziewczynka patrzy przez zabawkowe okulary z przytwierdzonym dużym nosem .	Dziewczynka patrzy przez zabawkowe okulary z przytwierdzonym dużym nosem .	4.5	NEUTRAL
1495	Dziewczynka w żółtej sukience leży z rękami , które są rozłożone , i nogami wśród kwiatów .	Uśmiechnięta dziewczynka w żółtej sukience leży wśród porozrzucanych wokół niej kwiatów .	4.0	NEUTRAL
1520	Dwoje dzieci pochyla się pod barierką i patrzy w dół .	Mały chłopiec patrzy , jak małe drewniane klocki są ustawiane przez inną osobę .	0.33	NEUTRAL
1534	Chłopiec przegląda niegrubą książkę z kolorową okładką .	Mężczyzna w masce i kasku siedzi na motorze , a drugi mężczyzna stoi obok motoru .	0.0	NEUTRAL
1539	Człowiek skacze z deskorolką nad wzniesieniem pod siatką , obok dwóch znajdujących się tam opon .	Żaden człowiek nie skacze z deskorolką nad wzniesieniem pod siatką obok dwóch znajdujących się tam opon .	4.17	CONTRADICTION
1543	Młody chłopak wykonuje skok z deskorolką nad schodami .	Chłopak bez koszulki wykonuje skok na deskorolce nad schodkami obok budynku .	3.5	NEUTRAL
1546	Dziecko w szarym płaszczyku biegnie po drodze pokrytej zeschłymi liśćmi .	Dziecko w kurtce biegnie wśród leżących na ziemi pożółkłych liści .	3.5	NEUTRAL
1555	Dwoje dzieci patrzy na dwójkę innych dzieci przepychających się na trawie wśród porozrzucanych białych papierów .	Chłopiec strzela z łuku do tarczy umieszczonej pod drzewem .	0.17	NEUTRAL
1556	Dwóch chłopców płynie obok siebie na desce , trzymając się liny jedną ręką .	Kobieta ze słuchawkami na uszach trenuje bieganie .	0.17	NEUTRAL
1557	Ciemnoskóry chłopak obserwuje , jak drugi chłopak w niebieskiej koszulce skacze z deskorolką w pobliżu schodów .	Przez ciemnoskórego chłopaka jest obserwowane , jak drugi chłopak w niebieskiej koszulce skacze z deskorolką w pobliżu schodów .	5.0	ENTAILMENT
1566	Dziewczynka dmucha w zestaw do robienia baniek trzymany przez inne dziecko .	Jasnowłosa dziewczynka wydmuchuje bańki mydlane przez kółko , które podstawia jej chłopiec .	3.67	ENTAILMENT
1573	Ciepło ubrane dziecko stoi na trawie , pochylając się z plastikowym kijem hokejowym .	Kilka osób z plecakami idzie ścieżką po kamienistym terenie .	0.33	NEUTRAL
1578	Widziany od tyłu mały chłopiec stoi na ziemi obok wiader i trzyma coś w ręku .	Chłopiec trzyma duży parasol i uśmiecha się .	1.83	NEUTRAL
1579	Dziecko biegnie boso po lśniącej podłodze .	Dziecko nie biegnie boso po lśniącej podłodze .	4.33	CONTRADICTION
1581	Rudy chłopiec przytrzymuje leżącą na trawie osobę , inny chłopiec stoi obok z wyciągniętą przed siebie ręką , a kolejne dziecko klęczy , podrzucając rozrzucony dookoła papier toaletowy .	Rudy chłopiec przytrzymuje leżącą na trawie osobę , inny chłopiec stoi obok z ręką , która jest wyciągnięta przed siebie , a kolejne dziecko klęczy , podrzucając rozrzucony dookoła papier toaletowy .	5.0	ENTAILMENT
1583	Człowiek w kasku i sportowym stroju biegnie po trawie , trzymając piłkę .	Zawodnik biegnie .	3.0	NEUTRAL
1594	Chłopiec przejeżdża przez czerwony most na deskorolce .	Kobieta w kasku i goglach przejeżdża przez czerwony most na deskorolce .	2.5	NEUTRAL
1600	Zawodnik z piłką , biegnąc po boisku , skręca w prawą stronę .	Zawodniczka na boisku próbuje odbić kijem lecącą żółtą piłkę .	1.5	NEUTRAL
1611	Niegruba książka z kolorową okładką jest przeglądana przez chłopca .	Duża grupa dzieci siedzi na podłodze , patrząc w jednym kierunku .	0.0	NEUTRAL
1634	Dziewczynka biegnie po drodze obok krzewów i skał .	Nikt nie biegnie po chodniku .	1.5	NEUTRAL
1639	Chłopiec w szlafroku stoi obok choinki , trzymając miecz świetlny , a na podłodze leżą papiery do pakowania prezentów , które są porozrywane .	Chłopiec w szlafroku stoi obok choinki , trzymając miecz świetlny , a na podłodze leżą porozrywane papiery do pakowania prezentów .	5.0	ENTAILMENT
1642	Człowiek w niebieskiej koszuli i kapeluszu jedzie na białym koniu między krzewami .	Chłopiec kuca , trzymając sito , w którym jest mały wąż .	0.33	NEUTRAL
