pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
592	Kobieta zdejmuje płaszcz, który jest bardzo duży, odsłaniając ekstrawagancką sukienkę	Kobieta zakłada płaszcz, który jest bardzo duży, zakrywając ekstrawagancką sukienkę	3.5	CONTRADICTION
619	Chłopiec wspina się na sztuczną ścianę do wspinaczki i jest przymocowany do liny	Chłopiec, który wygląda bojaźliwie, jest na ścianie wspinaczkowej	3.5	NEUTRAL
630	Mężczyzna nie wrzuca dziecka do basenu, który znajduje się blisko oceanu	Mężczyzna wrzuca dzieciaka do basenu, który jest blisko oceanu	3.5	CONTRADICTION
647	Jeden mężczyzna wspina się na klif za pomocą liny	Osoba z różowym sprzętem wspinaczkowym owiązała skałę liną	3.3	NEUTRAL
651	Osoba wspina się na skałę za pomocą liny, która jest różowa	Jeden mężczyzna wspina się na klif za pomocą liny	4.6	NEUTRAL
687	Jeden biały pies patrzy na czarną ulicę	Dwa psy różnych ras spoglądają na siebie z przeciwnych stron ulicy	3.4	NEUTRAL
717	Kilku mężczyzn rywalizuje w zawodach biegowych na zewnątrz	Kilku mężczyzn rywalizuje w zawodach biegowych wewnątrz pomieszczenia	3.9	CONTRADICTION
718	Kilku mężczyzn rywalizuje w zawodach biegowych na zewnątrz	Niektórzy mężczyźni rywalizują w zawodach biegowych na zewnątrz	3.9	NEUTRAL
765	Dziecko ześlizguje się radośnie po śniegu	Chłopiec na pokrytym śniegiem wzgórzu ma na sobie czerwoną kurtkę i czarny kapelusz i ślizga się na kolanach	4	NEUTRAL
780	Kobieta, która jest stara, jest w pobliżu białego psa	Kobieta i pies siedzą na pniu drzewa	3.1	NEUTRAL
816	Grupa osób wyposażona jest w sprzęt ochronny	Grupa osób wyposażona jest w sprzęt zapewniający ochronę	5	ENTAILMENT
860	Jeden biały pies i jeden czarny biegną obok siebie po trawie	Pies z czarną sierścią i biały pies biegną po trawie	4.2	ENTAILMENT
873	Niewiele ludzi jest w parku łyżwiarskim	Znajdujące się na zewnątrz lodowisko jest pełne ludzi	3.5	NEUTRAL
882	Dziewczynka w niebiesko białym mundurze kibicuje	Dziewczynka dopinguje mężczyznę w niebiesko białym mundurze	3.1	NEUTRAL
913	Kobieta jest całowana przez mężczyznę	Nie ma kobiety całowanej przez mężczyznę	4.2	CONTRADICTION
933	Dziewczynka w czerwonej koszuli dmucha balonik	Młoda dziewczyna puszcza bańkę mydlaną, która jest ogromna	3.8	NEUTRAL
947	Niektóre corndogi są zjadane przez dwóch maluchów, którzy znajdują się w wagonie, który jest naprawdę mały	Dwóch maluchów je corndogi w wagonie, który jest naprawdę mały	4.8	ENTAILMENT
980	Mężczyzna wsiada na konia na ścieżce prowadzącej przez dzicz	Koń podrzuca kowboja noszącego spodnie w kolorze niebieskim i czerwonym	2.1	NEUTRAL
987	Dorosły jest w amfiteatrze i rozmawia z chłopcem	W amfiteatrze nie ma osoby dorosłej, która rozmawiałaby z chłopcem	4.3	CONTRADICTION
988	W amfiteatrze odbywa się rozmowa o dorosłym i chłopcu	Dorosły jest w amfiteatrze i rozmawia z chłopcem	3.1	NEUTRAL
1039	Snowboardzista nie przeskakuje nad białym śniegiem	Osoba uprawiająca snowboard wyskakuje w powietrze	3.3	NEUTRAL
1102	Kobieta jedzie na koniu	Mężczyzna otwiera małą paczkę, w której znajdują się słuchawki	1	NEUTRAL
1137	Ryba poluje na żółwia w morzu	Żółw podąża za rybą	3.5	NEUTRAL
1170	Kobieta kroi ziemniaka w plasterki	Kobieta szatkuje marchewkę	3	NEUTRAL
1177	Kobieta czesze włosy	Kobieta układa włosy	4.1	NEUTRAL
1178	Kobieta czesze włosy	Nie ma kobiety czeszącej włosy	3.6	CONTRADICTION
1190	Mężczyzna i kobieta wędrują po zalesionym terenie	Mężczyzna i kobieta idą razem przez las	4.3	ENTAILMENT
1192	Mężczyzna i kobieta idą razem przez las	Mężczyzna i kobieta chodzą po zalesionym terenie	4.6	ENTAILMENT
1232	Mężczyzna kroi bułkę	Mężczyzna kroi pomidor na plasterki	3.6	NEUTRAL
1236	Kobieta tańczy i śpiewa sama	Kobieta tańczy i śpiewa z innymi kobietami	3.285	CONTRADICTION
1237	Niektóre kobiety tańczą i śpiewają	Kobieta tańczy i śpiewa w deszczu	3.8	NEUTRAL
1241	Kobieta tańczy i śpiewa z innymi kobietami	Kobieta tańczy i śpiewa w deszczu	4.1	NEUTRAL
1266	Zespół gra na scenie	Zespół gra na estradzie	5	ENTAILMENT
1302	Mężczyzna gra na flecie	Mężczyzna gra w grę z piłką	1.5	NEUTRAL
1333	Kobieta mierzy drugą kobietę	Kobieta jest mierzona przez inną kobietę	4.9	ENTAILMENT
1390	Osoba stojąca w pobliżu motocykla	Ktoś sieka cebulę	1.2	NEUTRAL
1396	Mężczyzna krzyczy	Mężczyzna boi się	3.6	NEUTRAL
1400	Smutny mężczyzna płacze	Mężczyzna krzyczy	2.9	NEUTRAL
1410	Kobieta kroi krewetki	Mężczyzna kroi masło w małym naczyniu	1.4	NEUTRAL
1412	Mężczyźni piłują belki	Mężczyźni tną drewno	4.5	ENTAILMENT
1443	Mężczyzna rozmawia w radiu	Mężczyzna pluje	1.7	NEUTRAL
1469	Trzech młodych mężczyzn biega, skacze i kopie w pobliżu automatu sprzedającego	W pobliżu automatu nie ma biegajacych, skaczących i kopiących mężczyzn	3.8	CONTRADICTION
1470	Trzech mężczyzn skacze z muru	Trzech młodych mężczyzn wściekle biega, skacze i kopie w pobliżu automatu sprzedającego	2.5	NEUTRAL
1487	Mężczyzna nie miesza sosu do kurczaka	Mężczyzna miesza sos do kurczaka	4	CONTRADICTION
1493	Mężczyzna gra na gitarze elektrycznej	Mężczyzna używa gitary do grania	4.9	ENTAILMENT
1495	Mężczyzna gra na gitarze	Mężczyzna uderza w struny gitary	4.9	ENTAILMENT
1503	Trzech chłopców w kostiumach karate nie walczy	Trzech chłopców w kostiumach karate walczy	3.3	CONTRADICTION
1506	Trzech mężczyzn trenuje karate na świeżym powietrzu	Trzech chłopców w kostiumach karate walczy	3.8	NEUTRAL
1525	Kobieta sadzi kwiaty	Kobieta kroi brokuły	1.2	NEUTRAL
1584	Dziura jest zakopywana przez borsuka	Borsuk sprytnie kopie ziemię	4.5	ENTAILMENT
1608	Wąż karmiony jest myszą przez mężczyznę	Żaden wąż nie jest karmiony myszą przez mężczyznę	4.7	CONTRADICTION
1628	Jakieś składniki są mieszane w misce przez osobę	Jakieś składniki są oddzielane w misce przez osobę	4.6	NEUTRAL
1676	Łódź płynie spokojnie po wodzie	Na gitarze gra mężczyzna	1.1	NEUTRAL
1690	Mleko jest pite przez kota	Kot pije mleko	5	ENTAILMENT
1703	Mężczyzna opróżnia całkowicie plastikowy pojemnik	Plastikowy pojemnik jest opróżniany przez mężczyznę	4.7	ENTAILMENT
1711	Plastikowy pojemnik jest opróżniany przez mężczyznę	Mężczyzna nieostrożnie trzyma żabę	1.1	NEUTRAL
1754	Na flecie w piękny sposób gra dziewczyna	Na flecie gra dziewczyna	4.6	ENTAILMENT
1807	Dorosły głośno gra na gitarze	Na flecie gra mężczyzna	2.4	NEUTRAL
1811	Mężczyzna głośno gra na gitarze	Na flecie nie gra mężczyzna	2.4	NEUTRAL
1839	Mała dziewczynka uważnie czesze włosy w koński ogon	Mała dziewczynka czesze włosy w koński ogon	4.6	ENTAILMENT
1847	Mężczyzna siedzi na krześle	Dziewczynka, która jest mała, czochra swoje włosy	1	NEUTRAL
1861	Mikrofon przed mówiącą papugą jest wyciszany	Papuga mówi do mikrofonu	4	NEUTRAL
1877	Kocięta na tace są spożywane jako pokarm do celów reklamowych	Pokarm na tacy jest spożywany przez kocięta	3.5	NEUTRAL
1881	Pokarm na tacy jest spożywany przez kocięta	Kilka kociąt je	4.2	ENTAILMENT
1964	Jedna osoba gra na gitarze i śpiewa	Osoba gra na gitarze i śpiewa	4.9	ENTAILMENT
2001	Koń jest ujeżdzany przez mężczyznę	Mężczyzna jedzie na koniu	5	ENTAILMENT
2019	Mężczyzna niebezpiecznie rzuca w drzewo nożami	Niektórzy niebezpieczni mężczyźni z nożami rzucają rowerem w drzewo	3.3	NEUTRAL
2058	Kobieta dokładnie kroi mięso	Kobieta kroi część mięsa na kawałki	4.8	ENTAILMENT
2089	Mężczyzna odmawia wywiadu	Mężczyzna udziela wywiadu	3.2	CONTRADICTION
2096	Mężczyzna udziela wywiadu	Biały samochód mężczyzny odjeżdza	1.1	NEUTRAL
2130	Chłopiec beszta psa	Chłopiec bawi się z psem	3.4	NEUTRAL
2157	Zdjęcie zestawu aparatu jest robione przez mężczyznę na plaży o zachodzie słońca	Mężczyzna fotografuje jezioro	3	NEUTRAL
2166	Kobieta szyje maszyną	Kobieta używa maszyny przeznaczonej do szycia	4.8	ENTAILMENT
2221	Osoba spada z konia	Mężczyzna nie jest strącany z konia	3.9	NEUTRAL
2229	Kobieta stuka palcami w stół	Kobieta kładzie palce na stole	4.1	NEUTRAL
2231	Kobieta stuka palcami	Kobieta kładzie palce na stole	3.1	NEUTRAL
2284	Kot bawi się z pasją arbuzem	Arbuzem bawi się kot	4.7	ENTAILMENT
2286	Kot bawi się z pasją arbuzem	Kot bawi się arbuzem	4.5	ENTAILMENT
2362	Człowiek pali kamery z latarką	Wysoka osoba włączą kamery	3.8	NEUTRAL
2364	Niektóre kamery są nagrywane przez osobę z latarką	Osoba włącza kamery	4.2	ENTAILMENT
2366	Osoba przy kamerach chucha na świecącą latarkę	Osoba włącza kamery	3.3	NEUTRAL
2385	Osoba kroi cebulę na kawałki	Osoba kroi marchew na kawałki	3.4	NEUTRAL
2392	Mężczyzna nie kroi ziemniaka	Mężczyzna tnie ziemniaka	2.7	CONTRADICTION
2402	Ktoś tnie pomidora	Kobieta trzyma cały pomidor	3.5	NEUTRAL
2404	Pani kroi pomidora	Nie ma nikogo, kto kroiłby pomidor	3	CONTRADICTION
2405	Pani kroi pomidora	Ktoś tnie pomidora	4.7	ENTAILMENT
2410	Mężczyzna przygotowuje jakieś danie	Kobieta kroi cebulę nożem w plastry	1.3	NEUTRAL
2430	Jeden mężczyzna jedzie drogą	Mężczyzna biegnie	4.4	ENTAILMENT
2476	Niektórzy śpiewają	Grupa ludzi śpiewa	4.7	ENTAILMENT
2485	Mężczyzna gra na gitarze	Mężczyzna gra na trąbce	2.2	NEUTRAL
2525	Kilku ludzi płynie na tratwie	Ludzie płyną i wiosłują na tratwie	3.8	NEUTRAL
2527	Ludzie płyną i wiosłują na tratwie	Cztery osoby pływają na tratwie	4.2	NEUTRAL
2535	Na kolbie nie ma kota jedzącego kukurydzę	Kot je kukurydzę	2.5	NEUTRAL
2544	Osoba kroi warzywo	Nikt nie kroi pomidora w plastry	3.1	NEUTRAL
2557	Ktoś brzdęka na gitarze	Jakaś osoba gra na gitarze	4.5	ENTAILMENT
2566	Trzy kobiety tańczą	Kilka kobiet tańczy	4.6	ENTAILMENT
2604	Małpa szczotkuje byka	Małpa szczotkuje bulldoga	4.8	ENTAILMENT
2606	Małpa szczotkuje bulldoga	Bulldog szczotkuje małpę	3.9	NEUTRAL
2662	Kobieta nie rozbija jajka do miksera	Kobieta kroi mięso	2.335	NEUTRAL
2668	Kilka fretek wychodzi z klatki	Fretki schodzą z półki w dół	3.1	NEUTRAL
2678	Mężczyzna pośpiesznie wsiada do samochodu w garażu	Mężczyzna wsiada do samochodu	4.1	ENTAILMENT
2679	Mężczyzna parkuje samochód w garażu	Mężczyzna wsiada do samochodu	3.4	NEUTRAL
2687	Osoba kroi ząbek czosnku na kawałki	Osoba nie kroi ząbka czosnku na kawałki	3	CONTRADICTION
2704	Makaron jest gotowany w wodzie przez kobietę	Kobieta gotuje makaron w wodzie	5	ENTAILMENT
2712	Nie ma praktykującego karateki, który kopnąłby innego mężczyznę, który ma na sobie ochronne rękawice bokserskie	Praktykujący karateka kopie w innego mężczyznę, który ma na sobie ochronne rękawice bokserskie	4.3	CONTRADICTION
2720	Mężczyzna jest na kick boxingu z trenerem	Nie ma praktykującego karateki, który kopnąłby innego mężczyznę, który ma na sobie ochronne rękawice bokserskie	3	NEUTRAL
2721	Mężczyzna jest na kick boxingu z trenerem	Praktykujący karateka kopie w innego mężczyznę, który ma na sobie ochronne rękawice bokserskie	4	NEUTRAL
2722	Kobieta, która siedzi, śpiewa piosenkę i gra na gitarze	Siedząca kobieta śpiewa piosenkę i gra na gitarze	5	ENTAILMENT
2726	Kobieta na skale leży na kocu i czyta książkę	Kobieta kołysze się nad kocem leżącym na kimś, kto czyta książkę	2.7	NEUTRAL
2738	Kobieta nie gra na gitarze elektrycznej	Mężczyzna gra na gitarze akustycznej	3	NEUTRAL
2766	Mężczyzna i kobieta rozmawiają	Mężczyzna i kobieta jedzą szczęśliwie	2.6	NEUTRAL
2772	Człowiek wlewa olej do gotowania do garnka	Człowiek wlewa olej kuchenny do naczynia	5	ENTAILMENT
2791	Świnka morska, która jest mała, gryzie i je kawałek marchewki na podłodze	Mała świnka morska gryzie i je kawałek marchewki na podłodze	4.8	ENTAILMENT
2795	Mała świnka morska gryzie i je kawałek marchewki na podłodze	Świnka morska pożera marchewkę	4.5	ENTAILMENT
2812	Samolot jest w trakcie lądowania	Animowany samolot startuje	2.7	NEUTRAL
2822	Kobieta wyjmuje mieszaninę z miski	Kobieta przygotowuje jajko na patelni	2.7	NEUTRAL
2829	Pani maluje cienie na powiekach	Kobieta maluje cienie na powiekach	5	ENTAILMENT
2842	Mała dziewczynka gra na scenie na fortepianie	Na fortepianie trenuje dziewczynka	3.8	NEUTRAL
2886	Kobieta gra używając fleta	Kobieta nie gra na flecie	3.2	CONTRADICTION
2898	Mężczyzna podnosi sztangi	Mężczyzna podnosi ciężary	4.3	ENTAILMENT
2911	Kobieta nakłada makijaż	Nie ma kobiety nakładającej makijaż	4	CONTRADICTION
2932	Kobieta kroi marchewkę	Cebula jest krojona przez kobietę	2.4	NEUTRAL
2936	Dwóch mężczyzn w zagrodzie dla bydła walczy	Dwóch mężczyzn jest na zewnątrz zagrody dla bydła	3	NEUTRAL
2965	Duża zielona piłka nie trafia w ziemniaka	Duża zielona piłka strąca ziemniaka	3.3	NEUTRAL
2967	Duża zielona piłka uderza w ziemniaka	Duża piłka w kolorze zielonym uderza w ziemniaka	4.8	ENTAILMENT
2968	Duża zielona piłka pudłuje w ziemniaka	Duża zielona piłka uderza w ziemniaka	3.5	NEUTRAL
2972	Duża zielona piłka uderza w ziemniaka	Duża zielona piłka nie trafia w ziemniaka	3.4	CONTRADICTION
2996	Mężczyzna gra na gitarze	Mężczyzna odkłada gitarę	3.3	NEUTRAL
3002	Kobieta gra na gitarze elektrycznej	Mężczyzna odkłada gitarę	2.3	NEUTRAL
3036	Szczeniak nie bawi się plastikowym pojemnikiem	Szczeniak bawi się plastikowym pojemnikiem	3.2	CONTRADICTION
3061	Kobieta prowadzi samochód i rozmawia z siedzącym obok mężczyzną	Nie ma kobiety prowadzącej samochód i rozmawiającej z siedzącym obok mężczyzną	4.7	CONTRADICTION
3107	Mężczyzna posadzi siedzącego gitarzystę	Mężczyzna siedzi na podłodze w pokoju i gra na gitarze	2.3	NEUTRAL
3122	Kobieta używa ołówka do oczu i nakłada podkład na powiekę	Kobieta nakłada na powiekę kosmetyki	4.6	ENTAILMENT
3123	Nie ma kobiety używającej ołówka do oczu i nakładającej podkład na powiekę	Kobieta nakłada na powiekę kosmetyki	3.1	CONTRADICTION
3143	Małpa kopie rękawicę	Małpa uprawia sztuki walki	3.6	NEUTRAL
3174	Dziecko wyrzuca instrument	Młody chłopiec gra na instrumencie dętym	2.8	NEUTRAL
3181	Mężczyzna trenuje w lesie	Mężczyzna nie porusza się po lesie	3.8	NEUTRAL
3222	Nie ma chłopca przechodzącego przez most	Chłopiec idzie przez most	3.7	CONTRADICTION
3250	Kobieta umieszcza dwa jajka w garnku z wodą	Kobieta wkłada dwa jajka do garnka z wodą	4.9	ENTAILMENT
3275	Dziecko wbiega i wybiega z fal oceanu	Dziecko wbiega i wybiega z fal oceanicznych	4.9	ENTAILMENT
3291	Kobieta odkłada marchewki	Kobieta panieruje kotlety wieprzowe	1.7	NEUTRAL
3292	Kobieta ściera marchewki	Kucharz panieruje kotlety wieprzowe	2.1	NEUTRAL
3322	Kobieta sieka chleb i smażoną wieprzowinę	Kobieta gotuje panierowany kotlet wieprzowy	3.2	NEUTRAL
3338	Nie ma mężczyzny stojącego na dachu i grającego na skrzypcach	Mężczyzna stoi na dachu i gra używając skrzypiec	3.4	CONTRADICTION
3364	Kobieta czyści krewetkę	Krewetka jest czyszczona przez kobietę	4.9	ENTAILMENT
3373	Kobieta jedzie na skuterze wodnym	Kobieta jedzie skuterem po wodę	4.1	ENTAILMENT
3384	Miś panda je bambus	Bambus spożywany jest przez pandę	4.8	ENTAILMENT
3398	Ktoś ubija jajko	Kobieta nie miesza jaj w misce	3.2	NEUTRAL
3420	Kobieta odkostnia rybę	Duża ryba łapie mężczyznę	1.9	NEUTRAL
3433	Taca jest rozbijana przez osobę	Osoba maskuje tacę	5	ENTAILMENT
3459	Mężczyzna rąbie pień drzewa siekierą	Mężczyzna sieka kłodę siekierą	4.4	NEUTRAL
3485	Kot patrzy przez okno na stół	Kot, który przysiadł na stole, patrzy przez okno	4.1	NEUTRAL
3501	Dziecko jest lizane przez psa	Pies liże dziecko	4.8	ENTAILMENT
3505	Kobieta odkłada czosnek	Kobieta tnie czosnek	3.6	NEUTRAL
3518	Mężczyzna nie tańczy	Kobieta tańczy	3.3	NEUTRAL
3536	Ktoś gotuje okrę na patelni	Okra jest gotowana na patelni	4.9	ENTAILMENT
3586	Mężczyzna gra na instrumentach perkusyjnych	Mężczyzna ćwiczy grę na bębnach	4.6	ENTAILMENT
3598	Jeden mężczyzna wykonuje ćwiczenia na podłodze	Mężczyzna wykonuje ćwiczenia	4.3	ENTAILMENT
3625	Kobieta kładzie mięso na patelni	Nie ma kobiety kładącej mięso na patelni	3.4	CONTRADICTION
3626	Ktoś upuszcza mięso na patelnię	Mięso wrzuca się na patelnię	4.7	ENTAILMENT
3657	Chłopiec napełnia dzbanek wodą	Dzbanek jest napełniany wodą przez chłopca	5	ENTAILMENT
3661	Kobieta nabiera wodę z kranu w kubku	Chłopiec napełnia dzbanek wodą	2.7	NEUTRAL
3670	Deszcz pada na spacerującego mężczyznę	Mężczyzna idzie w deszczu	4.9	ENTAILMENT
3680	Kierowcy rajdowi jadą po torze	Żaden kierowca rajdowy nie jedzie po torze	3.7	CONTRADICTION
3711	Zabawkowy pociąg uderza w samochodzik	Zabawkowy pociąg nie trafia w samochodzik	3.8	CONTRADICTION
3721	Osoba kroi cebulę w plastry	Cebula jest krojona w plastry przez osobę	4.9	ENTAILMENT
3733	Pływacy ścigają się w jeziorze	Niektórzy zawodnicy pływają w jeziorze	4.3	ENTAILMENT
3747	Utalentowany mężczyzna gra na gitarze	Kobieta gra na gitarze	3.2	NEUTRAL
3790	Osoba szoruje cukinię	Osoba skrobie cukinię	5	ENTAILMENT
3812	Kobieta kroi zieloną paprykę w plastry	Kobieta kroi zieloną paprykę	4.8	ENTAILMENT
3855	Mężczyzna zatrzymuje się na środku drogi	Mężczyzna idzie drogą	3.2	NEUTRAL
3861	Mężczyzna z pustyni jest na ścieżce	Mężczyzna idzie drogą	3.4	NEUTRAL
3862	Mężczyzna idzie ścieżką przez pustkowie	Mężczyzna leniwie idzie drogą	3.285	NEUTRAL
3880	Mężczyzna tańczy na suficie pokoju	Mężczyzna tańczy do góry nogami na suficie	4.4	ENTAILMENT
3897	Nie ma człowieka ćwiczącego	Mężczyzna ćwiczy	3.4	CONTRADICTION
3909	Mężczyzna śpiewa i gra na gitarze	Mężczyzna używa gitary do grania	4.3	ENTAILMENT
3910	Mężczyzna pakuje gitarę	Mężczyzna śpiewa i gra na gitarze	3.4	NEUTRAL
3922	Chłopcy nie tańczą przed niektórymi	Chłopcy tańczą przed niektórymi ludźmi	3.8	CONTRADICTION
3941	Chłopiec patrzy na kalendarz	Nie ma chłopca, który sprawdziłby kalendarz	3.9	CONTRADICTION
3982	Kobieta obiera ziemniaka	Kobieta chłodzi ziemniaka	3.7	NEUTRAL
3996	Nie ma mężczyzny śpiewającego i grającego na gitarze	Chłopiec gra na fortepianie	2.2	NEUTRAL
4001	Mężczyzna nieostrożnie wspina się po linie	Mężczyzna wspina się po linie	4.3	ENTAILMENT
4006	Mężczyzna wspina się po linie	Mężczyzna na linie wspina się	4.8	ENTAILMENT
4011	Mężczyzna wspina się po linie	Mężczyzna wspina się na linie	4.8	ENTAILMENT
4015	Kobieta podnosi kangura	Kangur jest podnoszony przez kobietę	4.9	ENTAILMENT
4031	Mężczyzna łamie rękami płytki	Nie ma mężczyzny, który ręką rozbijałby drewniane deski	2.9	NEUTRAL
4054	Pies biegnie bez oddechu po drodze	Pies biegnie po drodze	4.5	ENTAILMENT
4060	Mężczyzna biegnie po drodze	Pies biegnie bez oddechu po drodze	2.6	NEUTRAL
4066	Mężczyzna rzuca nożami w drzewo	Mężczyzna rzuca noże w drzewo	4.6	ENTAILMENT
4067	Mężczyzna usuwa noże z drzewa	Mężczyzna rzuca noże w drzewo	3.3	NEUTRAL
4079	Jeden mężczyzna jedzie konno	Mężczyzna jedzie konno	4.7	ENTAILMENT
4086	Nie ma mężczyzny rysującego obrazek	Mężczyzna rysuje obraz	3.9	CONTRADICTION
4114	Nie ma mężczyzny jedzącego żywność	Mężczyzna je pizzę	3.2	CONTRADICTION
4135	Pies odbija się od trampoliny	Pies skacze na trampolinie	4.7	ENTAILMENT
4140	Kilku chłopców skacze na trampolinie	Mężczyzna robi odwrotne salto na trampolinie	3.4	NEUTRAL
4155	Mężczyzna gra na drewnianym flecie	Nie ma mężczyzny grającego na drewnianym flecie	3.7	CONTRADICTION
4157	Nie ma mężczyzny grającego na fortepianie	Mężczyzna gra na fortepianie	4	CONTRADICTION
4164	Mężczyzna wymazuje rysunek z tablicy	Kobieta kasuje rysunek z tablicy	3.7	NEUTRAL
4187	Nie ma psa bawiącego się zabawką	Pies je lalkę	3.8	CONTRADICTION
4191	Pies je lalkę	Pies bawi się zabawką	3.6	NEUTRAL
4196	Mężczyzna tańczy	Mężczyzna modli się gorliwie	1.7	NEUTRAL
4288	Kobieta kroi ugotowaną ośmiornicę	Kobieta kroi ośmiornicę	4.4	ENTAILMENT
4321	Mężczyzna rysuje	Nie ma rysującego mężczyzny	3.8	CONTRADICTION
4330	Mężczyzna szkicuje	Nie ma rysującego mężczyzny	3.4	CONTRADICTION
4342	Mężczyzna je banana	Mężczyzna je owoc	4.6	ENTAILMENT
4360	Mężczyzna robi notatkę	Mężczyzna kroi papier	4.4	ENTAILMENT
4376	Mężczyzna gra na gitarze	Nie ma nikogo grającego na fortepianie	2.7	NEUTRAL
4411	Dwóch mężczyzn w wyścigu przerzuca opony od ciągnika	Dwóch mężczyzn bierze udział w wyścigu toczenia opon	3.7	NEUTRAL
4429	Mężczyźni mówią	Niektóre stare kobiety rozmawiają	3	NEUTRAL
4477	Mężczyzna uderza piłkę	Mężczyzna miesza zawartość miski	1.2	NEUTRAL
4505	Lekarze uzdrawiają mężczyznę	Lekarz pomaga pacjentowi	4.2	ENTAILMENT
4638	Keyboard jest używany do grania przez mężczyznę	Mężczyzna gra na harfie	2.4	NEUTRAL
4650	Mężczyzna tnie grubą linę mieczem	Nie ma mężczyzny tnącego linę mieczem	3.6	CONTRADICTION
4661	Kobieta tnie ziemniaka	Kobieta kroi ziemniaka	4.8	ENTAILMENT
4707	Mężczyźni grają w piłkę nożną na plaży	Grupa chłopców gra w piłkę nożną na plaży	4.4	NEUTRAL
4734	Mężczyzna dopasowuje tłumik do pistoletu	Mężczyzna stosuje tłumik do pistoletu	4.8	ENTAILMENT
4755	Dziewczyna siedzi na kanapie i szydełkuje	Nie ma dziewczyny grającej na skrzypcach na plaży	1.4	NEUTRAL
4767	Mężczyzna gotuje węża	Nie ma mężczyzny, który gotowałby węża	3.7	CONTRADICTION
4776	Nie ma chłopca grającego na gitarze	Chłopiec gra na gitarze	3.8	CONTRADICTION
4803	W ogrodzie zoologicznym nie ma małpy drażniącej psa	Małpa drapie psa w ogrodzie zoologicznym	2.935	CONTRADICTION
